#   T:  ACCEPTANCE:
         1.9    0.513352
         1.9    0.513386
         1.9    0.513403
         1.9    0.513412
         1.9    0.513397
         1.9    0.513348
         1.9    0.513318
       1.925    0.517684
       1.925    0.517524
       1.925    0.517507
       1.925    0.517818
       1.925      0.5178
       1.925    0.518035
       1.925    0.518174
       1.925    0.518139
       1.925    0.517991
       1.925    0.518046
       1.925    0.518115
       1.925    0.518244
       1.925    0.518253
       1.925    0.518269
       1.925    0.518263
       1.925    0.518225
       1.925    0.518218
       1.925    0.518184
       1.925    0.518191
       1.925    0.518235
        1.95    0.523804
        1.95     0.52244
        1.95    0.522819
        1.95     0.52293
        1.95    0.523174
        1.95     0.52354
        1.95    0.523716
        1.95    0.523748
        1.95    0.523698
        1.95    0.523628
        1.95    0.523528
        1.95    0.523581
        1.95    0.523593
        1.95    0.523527
        1.95    0.523539
        1.95    0.523594
        1.95    0.523564
        1.95    0.523564
        1.95    0.523468
        1.95    0.523515
       1.975     0.53129
       1.975    0.530746
       1.975    0.530239
       1.975    0.530224
       1.975    0.529875
       1.975    0.529807
       1.975    0.529544
       1.975    0.529491
       1.975    0.529374
       1.975    0.528936
       1.975    0.528941
       1.975    0.528977
       1.975    0.528859
       1.975    0.528708
       1.975    0.528743
       1.975    0.528716
       1.975    0.528763
       1.975    0.528774
       1.975     0.52882
       1.975    0.528782
           2    0.533726
           2    0.534176
           2    0.533839
           2    0.533728
           2    0.533629
           2    0.533749
           2    0.533653
           2    0.533657
           2    0.533572
           2    0.533722
           2    0.533735
           2    0.533709
           2    0.533628
           2    0.533568
           2    0.533594
           2    0.533655
           2    0.533663
           2    0.533647
           2     0.53367
           2    0.533644
