#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1          14    0.427117    0.418424   0.0013405
           1          15     0.42842    0.419091  0.00140704
           1          16    0.414463    0.418801   0.0013485
           1          17    0.428654    0.419381  0.00138814
           1          18    0.419233    0.419373  0.00131105
           1          19    0.416178    0.419205  0.00125278
           1          20    0.417846    0.419137  0.00119198
       1.025           1    0.403517    0.403517           0
       1.025           2    0.416732    0.410124  0.00467206
       1.025           3    0.410628    0.410292  0.00311772
       1.025           4    0.429328    0.415051   0.0047384
       1.025           5     0.41197    0.414435  0.00383059
       1.025           6    0.423061    0.415872  0.00345141
       1.025           7    0.405802    0.414434  0.00324434
       1.025           8    0.426718    0.415969  0.00318147
       1.025           9    0.409184    0.415215  0.00291592
       1.025          10    0.405874    0.414281  0.00276991
       1.025          11    0.411448    0.414024  0.00253005
       1.025          12    0.408043    0.413525  0.00236778
       1.025          13    0.410734    0.413311  0.00219536
       1.025          14    0.419276    0.413737  0.00207949
       1.025          15    0.418448    0.414051  0.00196443
       1.025          16    0.407006    0.413611  0.00189035
       1.025          17    0.414743    0.413677  0.00178033
       1.025          18    0.405871    0.413244  0.00173343
       1.025          19     0.40437    0.412777  0.00170394
       1.025          20    0.405006    0.412388  0.00166245
        1.05           1    0.401918    0.401918           0
        1.05           2    0.398125    0.400021  0.00134121
        1.05           3    0.414941    0.404994  0.00415776
        1.05           4    0.418158    0.408285  0.00422446
        1.05           5    0.394206    0.405469  0.00421481
        1.05           6    0.395527    0.403812  0.00382423
        1.05           7    0.420796    0.406239  0.00397374
        1.05           8    0.401357    0.405628  0.00352357
        1.05           9    0.409099    0.406014  0.00315309
        1.05          10    0.408453    0.406258   0.0028472
        1.05          11      0.4154    0.407089  0.00270695
        1.05          12     0.40114    0.406593  0.00252637
        1.05          13    0.396549    0.405821  0.00244732
        1.05          14     0.42978    0.407532  0.00280782
        1.05          15    0.404938    0.407359  0.00262596
        1.05          16    0.410313    0.407544  0.00246832
        1.05          17    0.405815    0.407442  0.00232522
        1.05          18    0.401956    0.407137  0.00221592
        1.05          19    0.411578    0.407371  0.00211159
        1.05          20    0.409037    0.407454  0.00200765
       1.075           1    0.414989    0.414989           0
       1.075           2    0.395017    0.405003  0.00706119
       1.075           3    0.405819    0.405275   0.0047127
       1.075           4    0.413517    0.407335  0.00395947
       1.075           5    0.411404    0.408149  0.00325009
       1.075           6    0.401414    0.407027  0.00289576
       1.075           7    0.413503    0.407952  0.00262571
       1.075           8     0.40949    0.408144  0.00230452
       1.075           9    0.396075    0.406803  0.00240719
       1.075          10    0.417948    0.407918  0.00241072
       1.075          11    0.395633    0.406801  0.00243655
       1.075          12    0.405322    0.406678  0.00223662
       1.075          13    0.406736    0.406682  0.00206457
       1.075          14    0.410266    0.406938  0.00193291
       1.075          15    0.411105    0.407216   0.0018239
       1.075          16    0.410572    0.407426  0.00172193
       1.075          17    0.403645    0.407203  0.00163494
       1.075          18    0.407052    0.407195  0.00154413
       1.075          19    0.394768    0.406541  0.00159537
       1.075          20    0.405086    0.406468  0.00151726
         1.1           1     0.40207     0.40207           0
         1.1           2    0.397434    0.399752  0.00163904
         1.1           3     0.38932    0.396275  0.00304204
         1.1           4    0.395241    0.396016  0.00229248
         1.1           5    0.396978    0.396208  0.00184203
         1.1           6    0.389318     0.39506  0.00185884
         1.1           7     0.38955    0.394273  0.00175203
         1.1           8    0.399125    0.394879  0.00163463
         1.1           9    0.387279    0.394035  0.00165687
         1.1          10    0.398729    0.394504  0.00155625
         1.1          11    0.394663    0.394519  0.00141484
         1.1          12    0.402912    0.395218  0.00145963
         1.1          13      0.3988    0.395494  0.00137311
         1.1          14    0.389239    0.395047  0.00134575
         1.1          15    0.404935    0.395706  0.00140825
         1.1          16    0.394919    0.395657  0.00132109
         1.1          17    0.396412    0.395701  0.00124413
         1.1          18    0.384917    0.395102  0.00131135
         1.1          19    0.400479    0.395385   0.0012725
         1.1          20    0.397984    0.395515  0.00121549
       1.125           1    0.401914    0.401914           0
       1.125           2      0.3839    0.392907  0.00636877
       1.125           3    0.378854    0.388223  0.00571446
       1.125           4    0.388426    0.388274  0.00428607
       1.125           5    0.396923    0.390003  0.00376181
       1.125           6    0.392656    0.390446   0.0031607
       1.125           7    0.383222    0.389414  0.00287268
       1.125           8    0.399491    0.390673  0.00277607
       1.125           9    0.394592    0.391109  0.00250153
       1.125          10    0.398291    0.391827  0.00235221
       1.125          11    0.399811    0.392553  0.00224757
       1.125          12     0.39485    0.392744  0.00206841
       1.125          13    0.385601    0.392195  0.00198094
       1.125          14    0.393036    0.392255  0.00184035
       1.125          15    0.389979    0.392103  0.00172391
       1.125          16    0.393267    0.392176   0.0016177
       1.125          17    0.391787    0.392153   0.0015227
       1.125          18    0.383413    0.391667  0.00151354
       1.125          19    0.386692    0.391406  0.00145635
       1.125          20    0.386918    0.391181  0.00140071
        1.15           1    0.373219    0.373219           0
        1.15           2    0.387276    0.380248  0.00496961
        1.15           3    0.371071    0.377189  0.00414901
        1.15           4    0.393981    0.381387  0.00478545
        1.15           5    0.383975    0.381904  0.00385626
        1.15           6    0.381472    0.381832  0.00321422
        1.15           7    0.376003    0.380999  0.00286089
        1.15           8    0.379703    0.380837  0.00250787
        1.15           9    0.390441    0.381904  0.00244572
        1.15          10     0.38075    0.381789  0.00220387
        1.15          11    0.384226    0.382011  0.00201462
        1.15          12    0.388064    0.382515  0.00190886
        1.15          13    0.396056    0.383557  0.00202638
        1.15          14    0.389841    0.384006  0.00193071
        1.15          15     0.38969    0.384384  0.00183882
        1.15          16    0.387021    0.384549  0.00173126
        1.15          17    0.383382    0.384481  0.00163078
        1.15          18    0.385474    0.384536  0.00154111
        1.15          19    0.381591    0.384381  0.00146777
        1.15          20    0.389552    0.384639  0.00141697
       1.175           1    0.376486    0.376486           0
       1.175           2    0.380928    0.378707  0.00157057
       1.175           3    0.372965    0.376793  0.00188102
       1.175           4    0.374884    0.376316  0.00147008
       1.175           5    0.371378    0.375328  0.00147077
       1.175           6     0.38164     0.37638  0.00155703
       1.175           7    0.373884    0.376024  0.00137483
       1.175           8    0.375747    0.375989  0.00120341
       1.175           9     0.36968    0.375288   0.0012574
       1.175          10    0.384867    0.376246  0.00145138
       1.175          11    0.384132    0.376963  0.00148599
       1.175          12    0.377331    0.376993  0.00136247
       1.175          13    0.378274    0.377092  0.00126122
       1.175          14    0.373429     0.37683  0.00119797
       1.175          15     0.38408    0.377314  0.00121168
       1.175          16    0.374552    0.377141  0.00114817
       1.175          17    0.372895    0.376891  0.00110746
       1.175          18    0.375599    0.376819  0.00104826
       1.175          19    0.383394    0.377165  0.00104865
       1.175          20    0.388049     0.37771  0.00112862
         1.2           1    0.375709    0.375709           0
         1.2           2    0.372453    0.374081  0.00115131
         1.2           3     0.36536    0.371174  0.00249467
         1.2           4    0.370558     0.37102  0.00187575
         1.2           5    0.373057    0.371427  0.00154422
         1.2           6    0.371374    0.371419  0.00128688
         1.2           7    0.367502    0.370859  0.00121861
         1.2           8    0.369277    0.370661  0.00108222
         1.2           9    0.371979    0.370808 0.000971822
         1.2          10     0.38232    0.371959  0.00139921
         1.2          11    0.373079    0.372061   0.0012757
         1.2          12    0.376084    0.372396  0.00121265
         1.2          13    0.369575    0.372179  0.00113862
         1.2          14    0.375872    0.372443  0.00108741
         1.2          15    0.380029    0.372948   0.0011264
         1.2          16    0.372934    0.372948    0.001056
         1.2          17     0.37337    0.372972 0.000994173
         1.2          18    0.366323    0.372603  0.00100523
         1.2          19    0.366873    0.372301  0.00099653
         1.2          20    0.373856    0.372379 0.000949731
       1.225           1     0.36595     0.36595           0
       1.225           2    0.367364    0.366657 0.000500054
       1.225           3    0.372802    0.368706  0.00170536
       1.225           4    0.367094    0.368303  0.00132577
       1.225           5    0.353256    0.365293  0.00289304
       1.225           6    0.364635    0.365184  0.00241295
       1.225           7    0.366608    0.365387   0.0020768
       1.225           8    0.355406     0.36414  0.00215967
       1.225           9    0.365346    0.364274  0.00192386
       1.225          10    0.363215    0.364168  0.00173439
       1.225          11    0.364863    0.364231  0.00157787
