#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
       0.925          11    0.415161    0.429977   0.0030809
       0.925          12    0.434613    0.430364  0.00284828
       0.925          13    0.449119    0.431806  0.00297218
       0.925          14    0.435751    0.432088  0.00277321
       0.925          15    0.429057    0.431886  0.00259568
       0.925          16    0.442443    0.432546  0.00251592
       0.925          17    0.433238    0.432587  0.00236825
       0.925          18    0.436941    0.432829    0.002249
       0.925          19    0.423792    0.432353  0.00218034
       0.925          20    0.434022    0.432436  0.00207292
        0.95           1    0.444912    0.444912           0
        0.95           2    0.424318    0.434615  0.00728093
        0.95           3    0.436576    0.435269  0.00488322
        0.95           4    0.426707    0.433128  0.00410476
        0.95           5    0.436602    0.433823  0.00334207
        0.95           6    0.425679    0.432466  0.00304825
        0.95           7    0.423098    0.431128  0.00289168
        0.95           8    0.423585    0.430185  0.00267951
        0.95           9    0.430395    0.430208  0.00238189
        0.95          10     0.43718    0.430905  0.00224341
        0.95          11    0.445993    0.432277  0.00242273
        0.95          12    0.432047    0.432258  0.00222092
        0.95          13    0.435504    0.432507  0.00206406
        0.95          14    0.420218     0.43163  0.00209498
        0.95          15    0.434306    0.431808   0.0019629
        0.95          16    0.436494    0.432101  0.00186193
        0.95          17     0.42396    0.431622  0.00181295
        0.95          18    0.436042    0.431868  0.00172878
        0.95          19    0.435048    0.432035  0.00164587
        0.95          20     0.43178    0.432022  0.00156363
       0.975           1    0.421368    0.421368           0
       0.975           2    0.423916    0.422642 0.000900835
       0.975           3     0.43992    0.428401  0.00474056
       0.975           4    0.428024    0.428307  0.00355636
       0.975           5    0.423541    0.427354  0.00297011
       0.975           6    0.428738    0.427584  0.00248403
       0.975           7    0.435104    0.428659  0.00234998
       0.975           8    0.433037    0.429206  0.00211901
       0.975           9    0.416076    0.427747   0.0023323
       0.975          10      0.4251    0.427482  0.00211403
       0.975          11    0.434972    0.428163  0.00202852
       0.975          12    0.418407     0.42735  0.00201583
       0.975          13    0.423472    0.427052  0.00188271
       0.975          14    0.414279     0.42614  0.00195683
       0.975          15    0.421318    0.425818  0.00185259
       0.975          16    0.421059    0.425521  0.00176052
       0.975          17    0.416187    0.424972  0.00174046
       0.975          18     0.41503    0.424419  0.00172919
       0.975          19    0.421287    0.424255  0.00164602
       0.975          20    0.428706    0.424477   0.0015787
           1           1     0.41768     0.41768           0
           1           2    0.419268    0.418474 0.000561374
           1           3    0.413244     0.41673  0.00147179
           1           4    0.424304    0.418624  0.00197667
           1           5    0.416955     0.41829  0.00160926
           1           6    0.418327    0.418296  0.00134107
           1           7    0.422858    0.418948  0.00129823
           1           8    0.426278    0.419864    0.001423
           1           9    0.423333     0.42025  0.00131606
           1          10     0.41284    0.419509  0.00137736
           1          11    0.425857    0.420086  0.00136771
           1          12    0.417521    0.419872  0.00127032
           1          13    0.411948    0.419263  0.00131072
           1          14    0.418659    0.419219  0.00121781
           1          15    0.438077    0.420477  0.00166344
           1          16    0.422679    0.420614  0.00156516
           1          17    0.420242    0.420592  0.00147324
           1          18    0.420133    0.420567  0.00139162
           1          19      0.4211    0.420595  0.00131866
           1          20    0.437816    0.421456  0.00150787
       1.025           1     0.41544     0.41544           0
       1.025           2    0.420533    0.417987  0.00180071
       1.025           3    0.411196    0.415723  0.00220388
       1.025           4    0.413992     0.41529  0.00169486
       1.025           5    0.420799    0.416392  0.00167612
       1.025           6    0.423938     0.41765  0.00180802
       1.025           7    0.423826    0.418532  0.00175187
       1.025           8    0.411732    0.417682  0.00172682
       1.025           9    0.404885     0.41626  0.00203795
       1.025          10    0.414737    0.416108  0.00183984
       1.025          11    0.407636    0.415338  0.00182668
       1.025          12     0.41699    0.415475  0.00167965
       1.025          13    0.416539    0.415557  0.00155243
       1.025          14    0.419941     0.41587  0.00147278
       1.025          15    0.431557    0.416916  0.00170596
       1.025          16    0.407536     0.41633  0.00169709
       1.025          17    0.410457    0.415984  0.00163205
       1.025          18    0.416106    0.415991  0.00154139
       1.025          19    0.415847    0.415983  0.00146029
       1.025          20    0.419092    0.416139  0.00139552
        1.05           1    0.397166    0.397166           0
        1.05           2    0.414967    0.406067   0.0062935
        1.05           3    0.408368    0.406834  0.00424216
        1.05           4     0.40193    0.405608  0.00335405
        1.05           5    0.400478    0.404582   0.0028358
        1.05           6    0.407929     0.40514   0.0024174
        1.05           7    0.405896    0.405248  0.00207447
        1.05           8    0.395024     0.40397  0.00217343
        1.05           9    0.410496    0.404695  0.00204935
        1.05          10    0.413379    0.405563  0.00202003
        1.05          11    0.405616    0.405568   0.0018364
        1.05          12    0.415095    0.406362  0.00184701
        1.05          13    0.403508    0.406143  0.00171793
        1.05          14    0.417302     0.40694  0.00177051
        1.05          15    0.407185    0.406956  0.00165256
        1.05          16    0.413126    0.407342  0.00159363
        1.05          17    0.411377    0.407579  0.00151747
        1.05          18    0.408316     0.40762  0.00143372
        1.05          19     0.40457    0.407459  0.00136722
        1.05          20      0.4124    0.407706  0.00132099
       1.075           1     0.40869     0.40869           0
       1.075           2    0.398442    0.403566  0.00362314
       1.075           3    0.401299     0.40281  0.00249297
       1.075           4      0.3905    0.399733  0.00325573
       1.075           5    0.406876    0.401162  0.00290118
       1.075           6    0.398846    0.400776  0.00244319
       1.075           7     0.39442    0.399868  0.00225657
       1.075           8     0.40632    0.400674  0.00211374
       1.075           9    0.398224    0.400402  0.00189633
       1.075          10    0.395479     0.39991  0.00176945
       1.075          11    0.419252    0.401668  0.00232344
       1.075          12    0.416345    0.402891  0.00243053
       1.075          13    0.394172     0.40222  0.00233427
       1.075          14    0.395028    0.401707  0.00222336
       1.075          15    0.404316    0.401881  0.00208193
       1.075          16    0.420371    0.403036  0.00224981
       1.075          17    0.399703     0.40284  0.00212599
       1.075          18    0.409498     0.40321   0.0020398
       1.075          19    0.409949    0.403565  0.00196304
       1.075          20    0.394504    0.403112  0.00191645
         1.1           1    0.394172    0.394172           0
         1.1           2    0.388575    0.391374  0.00197891
         1.1           3    0.385606    0.389451  0.00205056
         1.1           4    0.393715    0.390517  0.00179374
         1.1           5    0.408924    0.394199  0.00359187
         1.1           6    0.396551    0.394591  0.00301455
         1.1           7     0.40364    0.395883  0.00284765
         1.1           8    0.401622    0.396601  0.00258044
         1.1           9    0.404071    0.397431  0.00242355
         1.1          10    0.398632    0.397551  0.00218417
         1.1          11    0.397696    0.397564  0.00198565
         1.1          12    0.401311    0.397876  0.00184457
         1.1          13     0.39802    0.397887  0.00170271
         1.1          14    0.388471    0.397215  0.00170879
         1.1          15     0.38638    0.396492  0.00174086
         1.1          16    0.401349    0.396796   0.0016583
         1.1          17    0.400675    0.397024  0.00157638
         1.1          18    0.386279    0.396427  0.00159783
         1.1          19    0.398342    0.396528  0.00151691
         1.1          20    0.398472    0.396625  0.00144418
       1.125           1    0.386746    0.386746           0
       1.125           2    0.399346    0.393046  0.00445457
       1.125           3    0.389644    0.391912  0.00311068
       1.125           4    0.391109    0.391711  0.00233948
       1.125           5    0.383379    0.390045  0.00239261
       1.125           6    0.394728    0.390825  0.00211732
       1.125           7    0.381675    0.389518  0.00218137
       1.125           8    0.382864    0.388686  0.00206117
       1.125           9    0.393062    0.389173  0.00188862
       1.125          10     0.39404    0.389659  0.00176137
       1.125          11    0.385243    0.389258  0.00164638
       1.125          12     0.39568    0.389793   0.0015938
       1.125          13    0.401901    0.390724  0.00172196
       1.125          14    0.376967    0.389742  0.00185832
       1.125          15    0.394623    0.390067  0.00176269
       1.125          16     0.39171     0.39017  0.00165551
       1.125          17    0.393887    0.390389   0.0015725
       1.125          18    0.391141     0.39043   0.0014857
       1.125          19    0.380517    0.389909  0.00149632
