#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       0.875          15     11.1106     11.0656    0.162717
       0.875          16     10.4708     11.0284    0.156736
       0.875          17     11.2339     11.0405    0.147981
       0.875          18     11.5787     11.0704    0.142749
       0.875          19     11.6471     11.1007    0.138426
       0.875          20     11.8216     11.1368    0.136116
         0.9           1     10.5194     10.5194           0
         0.9           2     10.4934     10.5064  0.00920339
         0.9           3     11.2615     10.7581    0.205594
         0.9           4     10.9398     10.8035    0.159135
         0.9           5     9.80599      10.604    0.219203
         0.9           6     10.3382     10.5597    0.187092
         0.9           7     10.5202     10.5541     0.16045
         0.9           8     9.89825     10.4721    0.159971
         0.9           9     10.6239      10.489    0.143083
         0.9          10     9.62474     10.4025     0.15266
         0.9          11     10.1176     10.3766    0.140962
         0.9          12     9.49394     10.3031    0.147162
         0.9          13     10.9574     10.3534    0.144192
         0.9          14     9.66966     10.3046    0.141923
         0.9          15      9.9238     10.2792    0.134713
         0.9          16     10.6763      10.304    0.128559
         0.9          17     9.60117     10.2627    0.127471
         0.9          18     10.5731     10.2799     0.12155
         0.9          19     10.6072     10.2971    0.116367
         0.9          20     10.2285     10.2937    0.110599
       0.925           1     9.24103     9.24103           0
       0.925           2     9.51588     9.37846   0.0971741
       0.925           3     10.5182     9.75836    0.316884
       0.925           4      9.6129       9.722    0.239741
       0.925           5     9.61197     9.69999      0.1928
       0.925           6     9.13834     9.60638    0.181978
       0.925           7     9.39886     9.57674    0.158377
       0.925           8      9.0023     9.50493    0.153999
       0.925           9     9.36922     9.48985    0.137625
       0.925          10     10.1646     9.55732    0.139423
       0.925          11     9.59464     9.56072     0.12679
       0.925          12     10.1693     9.61143    0.125959
       0.925          13     8.88042      9.5552    0.128208
       0.925          14     9.32033     9.53842    0.120143
       0.925          15     8.52503     9.47086    0.129746
       0.925          16      9.8183     9.49258     0.12344
       0.925          17     9.27877        9.48    0.116818
       0.925          18     9.83787     9.49988    0.112007
       0.925          19     9.83981     9.51777    0.107531
       0.925          20     9.34124     9.50895    0.102516
        0.95           1     8.55829     8.55829           0
        0.95           2     8.20303     8.38066    0.125603
        0.95           3      8.7521     8.50447    0.131268
        0.95           4     8.97013     8.62089    0.140914
        0.95           5     8.56245      8.6092    0.113215
        0.95           6     8.63981      8.6143   0.0944607
        0.95           7     8.41911     8.58642   0.0849825
        0.95           8     9.12026     8.65315   0.0970858
        0.95           9     8.96863      8.6882   0.0924104
        0.95          10     8.39756     8.65914   0.0876207
        0.95          11     8.90651     8.68162   0.0824906
        0.95          12     8.27592     8.64782   0.0822532
        0.95          13     8.67324     8.64977   0.0759493
        0.95          14     8.37649     8.63025   0.0729897
        0.95          15      8.6204     8.62959   0.0681266
        0.95          16     8.30077     8.60904   0.0668967
        0.95          17     8.56367     8.60637   0.0630148
        0.95          18     8.46148     8.59832   0.0600259
        0.95          19     8.65973     8.60156   0.0569536
        0.95          20     8.68777     8.60587   0.0542688
       0.975           1     8.34649     8.34649           0
       0.975           2      8.2377     8.29209   0.0384637
       0.975           3     7.83133     8.13851       0.128
       0.975           4        8.08     8.12388   0.0968319
       0.975           5     8.27708     8.15452   0.0821705
       0.975           6     7.86612     8.10645   0.0813281
       0.975           7     8.23209      8.1244   0.0716628
       0.975           8     7.89977     8.09632   0.0679836
       0.975           9     7.71564     8.05402   0.0724024
       0.975          10     7.84695     8.03332    0.068059
       0.975          11     7.90743     8.02187   0.0628266
       0.975          12     8.38514     8.05214   0.0644732
       0.975          13     7.22196     7.98828    0.085477
       0.975          14     7.80082     7.97489   0.0804134
       0.975          15      7.8744      7.9682   0.0753311
       0.975          16     8.39345     7.99477   0.0751656
       0.975          17      7.8085     7.98382   0.0715383
       0.975          18     7.64683      7.9651   0.0699707
       0.975          19     7.49831     7.94053   0.0704691
       0.975          20     8.20462     7.95373   0.0681715
           1           1     7.05425     7.05425           0
           1           2      7.5238     7.28903     0.16601
           1           3     7.57887     7.38564     0.13591
           1           4     7.26452     7.35536    0.105252
           1           5     7.34616     7.35352   0.0842176
           1           6     7.32244     7.34834   0.0703405
           1           7     7.73628     7.40376   0.0791691
           1           8     7.66727      7.4367    0.075816
           1           9     7.52538     7.44655   0.0680293
           1          10     6.67087     7.36898    0.095728
           1          11     7.72901     7.40171   0.0924515
           1          12      7.1204     7.37827   0.0876691
           1          13     7.49284     7.38708    0.081367
           1          14     7.51508     7.39623    0.076067
           1          15     7.57572     7.40819   0.0719309
           1          16      7.4637     7.41166   0.0675188
           1          17     7.33199     7.40698   0.0637096
           1          18     7.34162     7.40334   0.0602735
           1          19      7.3179     7.39885   0.0572688
           1          20     7.22016     7.38991   0.0550979
       1.025           1      6.9618      6.9618           0
       1.025           2      6.8626      6.9122   0.0350725
       1.025           3     7.30538     7.04326    0.109535
       1.025           4     6.95759     7.02184   0.0842191
       1.025           5     6.98744     7.01496   0.0676557
       1.025           6     6.70479     6.96327   0.0735233
       1.025           7     6.42562     6.88646   0.0950155
       1.025           8     7.32514     6.94129   0.0976882
       1.025           9     6.64094     6.90792   0.0923587
       1.025          10     6.59193     6.87632   0.0883632
       1.025          11      7.4379     6.92737   0.0939273
       1.025          12     6.90475     6.92549   0.0861189
       1.025          13     6.34302     6.88068   0.0904016
       1.025          14     6.83404     6.87735   0.0840057
       1.025          15     6.98354     6.88443    0.078703
       1.025          16     6.83541     6.88137   0.0738437
       1.025          17     6.92251     6.88379   0.0695396
       1.025          18     6.89352     6.88433   0.0656784
       1.025          19     6.71772     6.87556   0.0628043
       1.025          20     6.69241      6.8664    0.060328
        1.05           1     6.16116     6.16116           0
        1.05           2     6.27844      6.2198   0.0414647
        1.05           3     6.45483     6.29814   0.0696841
        1.05           4     6.31387     6.30207    0.052374
        1.05           5     6.01286     6.24423    0.066575
        1.05           6      6.1665     6.23127   0.0567258
        1.05           7     6.40205     6.25567   0.0536124
        1.05           8     6.60808     6.29972   0.0624382
        1.05           9     6.11045     6.27869   0.0589361
        1.05          10     6.50576      6.3014   0.0572499
        1.05          11     6.58785     6.32744   0.0576645
        1.05          12     6.34771     6.32913   0.0528838
        1.05          13     6.57515     6.34805   0.0520922
        1.05          14     6.64104     6.36898   0.0524068
        1.05          15     6.85094     6.40111   0.0579313
        1.05          16     6.39771      6.4009    0.054311
        1.05          17     6.02345      6.3787   0.0554693
        1.05          18     6.58201     6.38999   0.0535253
        1.05          19     6.48864     6.39518   0.0509593
        1.05          20     6.19408     6.38513   0.0493935
       1.075           1      6.2921      6.2921           0
       1.075           2     5.95043     6.12126    0.120798
       1.075           3     5.70981     5.98411    0.137934
       1.075           4     5.68399     5.90908    0.122165
       1.075           5     6.20804     5.96887    0.111407
       1.075           6     6.17181      6.0027   0.0978392
       1.075           7     6.26874      6.0407   0.0909449
       1.075           8     5.92272     6.02595   0.0807637
       1.075           9     6.21118     6.04653   0.0743661
       1.075          10     5.75123       6.017    0.072556
       1.075          11     6.10108     6.02465   0.0663613
       1.075          12     5.53089      5.9835   0.0724731
       1.075          13     6.18394     5.99892   0.0685187
       1.075          14     6.16414     6.01072   0.0646329
       1.075          15     5.85599     6.00041   0.0611416
       1.075          16     5.75573     5.98511   0.0592018
       1.075          17     6.29574     6.00339   0.0584712
       1.075          18     5.87296     5.99614     0.05567
       1.075          19     5.95257     5.99385   0.0527872
       1.075          20     6.04127     5.99622   0.0502011
         1.1           1     5.73033     5.73033           0
         1.1           2     5.63205     5.68119   0.0347472
         1.1           3     5.64103      5.6678   0.0256142
         1.1           4     5.36386     5.59181   0.0685521
         1.1           5     5.71076      5.6156   0.0588247
         1.1           6      5.6389     5.61949   0.0491485
         1.1           7     5.52927      5.6066   0.0437845
         1.1           8     5.69961     5.61822   0.0398253
         1.1           9     5.64217     5.62089    0.035489
         1.1          10     5.66805      5.6256    0.032252
         1.1          11     5.53867      5.6177   0.0302729
         1.1          12     5.61465     5.61744   0.0277512
