#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       1.225          18      4.1086     4.13757   0.0230271
       1.225          19     4.04483     4.13269   0.0223265
       1.225          20     4.13682      4.1329   0.0212111
        1.25           1      3.8895      3.8895           0
        1.25           2     3.93553     3.91251   0.0162736
        1.25           3     3.95934     3.92812   0.0167375
        1.25           4     3.90601     3.92259   0.0134352
        1.25           5     4.05522     3.94912   0.0260466
        1.25           6     3.92195     3.94459   0.0220957
        1.25           7     3.96457     3.94744   0.0191227
        1.25           8     4.01028      3.9553   0.0182744
        1.25           9     3.81087     3.93925   0.0221984
        1.25          10     3.90143     3.93547   0.0202982
        1.25          11     4.09083     3.94959   0.0228442
        1.25          12     4.01294     3.95487   0.0215418
        1.25          13      3.9569     3.95503   0.0198853
        1.25          14     4.08204      3.9641   0.0204298
        1.25          15     3.73608      3.9489   0.0240677
        1.25          16     4.05107     3.95528   0.0233953
        1.25          17     3.86058     3.94971   0.0226727
        1.25          18      3.9017     3.94705   0.0215695
        1.25          19     4.16103     3.95831   0.0231888
        1.25          20     3.90103     3.95544   0.0222055
       1.275           1     3.76337     3.76337           0
       1.275           2     3.70021     3.73179   0.0223302
       1.275           3     3.86808     3.77722   0.0399697
       1.275           4     3.88285     3.80363    0.037705
       1.275           5     3.74594     3.79209   0.0318805
       1.275           6     3.64374     3.76737   0.0348605
       1.275           7     3.75377     3.76543   0.0299345
       1.275           8     3.70442      3.7578   0.0271465
