#   T     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1           3    -0.76208   -0.761776 0.000149286
           1           4   -0.759472     -0.7612 0.000511242
           1           5   -0.759828   -0.760926 0.000476982
           1           6   -0.763648   -0.761379  0.00057407
           1           7   -0.760168   -0.761206 0.000517485
           1           8   -0.759716    -0.76102 0.000485172
           1           9   -0.759492    -0.76085 0.000460011
           1          10   -0.760496   -0.760815 0.000415371
           1          11    -0.76182   -0.760906 0.000387532
           1          12   -0.761156   -0.760927 0.000355796
           1          13   -0.763264   -0.761107 0.000371074
           1          14    -0.75974   -0.761009  0.00035718
           1          15   -0.763612   -0.761183 0.000373145
           1          16   -0.765516   -0.761454 0.000437199
           1          17   -0.761512   -0.761457 0.000411495
           1          18    -0.76054   -0.761406 0.000391774
           1          19   -0.763092   -0.761495 0.000381072
           1          20   -0.760912   -0.761466  0.00036313
       1.025           1   -0.750836   -0.750836           0
       1.025           2    -0.75126   -0.751048 0.000149907
       1.025           3    -0.75056   -0.750885 0.000166216
       1.025           4    -0.74956   -0.750554 0.000312853
       1.025           5   -0.752032    -0.75085 0.000364067
       1.025           6     -0.7518   -0.751008 0.000336086
       1.025           7   -0.749084   -0.750733  0.00038437
       1.025           8   -0.751384   -0.750815 0.000344827
       1.025           9   -0.751604   -0.750902 0.000317475
       1.025          10   -0.747624   -0.750574 0.000422328
       1.025          11   -0.754468   -0.750928 0.000511181
       1.025          12    -0.75226   -0.751039 0.000480476
       1.025          13   -0.748864   -0.750872 0.000471756
       1.025          14   -0.753268   -0.751043 0.000468074
       1.025          15   -0.751744    -0.75109 0.000439195
       1.025          16    -0.75114   -0.751093 0.000411757
       1.025          17   -0.749688    -0.75101 0.000395743
       1.025          18   -0.752628     -0.7511 0.000383826
       1.025          19   -0.749172   -0.750999 0.000376802
       1.025          20   -0.749544   -0.750926 0.000364915
        1.05           1   -0.740764   -0.740764           0
        1.05           2   -0.743804   -0.742284   0.0010748
        1.05           3     -0.7408   -0.741789 0.000822528
        1.05           4   -0.740648   -0.741504 0.000664546
        1.05           5   -0.739372   -0.741078 0.000654287
        1.05           6   -0.737868   -0.740543 0.000731948
        1.05           7   -0.742116   -0.740767 0.000660993
        1.05           8    -0.74106   -0.740804 0.000579379
        1.05           9   -0.738732   -0.740574 0.000558876
        1.05          10   -0.741068   -0.740623 0.000505169
        1.05          11   -0.744188   -0.740947 0.000553517
        1.05          12   -0.740684   -0.740925 0.000507825
        1.05          13   -0.743112   -0.741094 0.000495837
        1.05          14   -0.743836   -0.741289 0.000497613
        1.05          15   -0.741296    -0.74129 0.000464439
        1.05          16   -0.741636   -0.741312 0.000435915
        1.05          17   -0.740512   -0.741264 0.000412802
        1.05          18   -0.744972    -0.74147 0.000438253
        1.05          19   -0.740472   -0.741418 0.000418326
        1.05          20   -0.740308   -0.741362 0.000401073
       1.075           1   -0.732352   -0.732352           0
       1.075           2   -0.730988    -0.73167 0.000482247
       1.075           3   -0.730168   -0.731169  0.00052007
       1.075           4   -0.727268   -0.730194 0.000930375
       1.075           5   -0.730936   -0.730342 0.000756042
       1.075           6   -0.734612   -0.731054 0.000904944
       1.075           7      -0.733   -0.731332 0.000817252
       1.075           8   -0.731784   -0.731389 0.000717046
       1.075           9   -0.730864    -0.73133 0.000639738
       1.075          10   -0.729912   -0.731188 0.000591276
       1.075          11   -0.732352   -0.731294 0.000546904
       1.075          12    -0.72794   -0.731015 0.000568285
       1.075          13    -0.73104   -0.731017 0.000524574
       1.075          14   -0.729796   -0.730929 0.000494297
       1.075          15    -0.72886   -0.730791 0.000480211
       1.075          16   -0.726592   -0.730529 0.000516973
       1.075          17   -0.734796    -0.73078 0.000544095
       1.075          18      -0.728   -0.730626 0.000535338
       1.075          19   -0.729108   -0.730546 0.000513086
       1.075          20   -0.727632     -0.7304 0.000507694
         1.1           1   -0.722856   -0.722856           0
         1.1           2   -0.721608   -0.722232 0.000441235
         1.1           3   -0.721344   -0.721936 0.000380708
         1.1           4   -0.715924   -0.720433  0.00133259
         1.1           5   -0.721448   -0.720636  0.00108142
         1.1           6   -0.721364   -0.720757 0.000907965
         1.1           7   -0.720284    -0.72069 0.000780769
         1.1           8   -0.723844   -0.721084 0.000776372
         1.1           9   -0.721964   -0.721182 0.000696239
         1.1          10   -0.719796   -0.721043 0.000640257
         1.1          11    -0.71928   -0.720883 0.000601782
         1.1          12   -0.720752   -0.720872 0.000551733
         1.1          13   -0.719512   -0.720767 0.000519115
         1.1          14   -0.718896   -0.720634 0.000498949
         1.1          15    -0.71768   -0.720437 0.000503044
         1.1          16   -0.720264   -0.720426  0.00047172
         1.1          17    -0.72104   -0.720462 0.000445352
         1.1          18   -0.723424   -0.720627 0.000449983
         1.1          19    -0.71864   -0.720522  0.00043828
         1.1          20    -0.72256   -0.720624 0.000428047
       1.125           1   -0.712712   -0.712712           0
       1.125           2   -0.714548    -0.71363 0.000649124
       1.125           3   -0.709148   -0.712136  0.00129433
       1.125           4   -0.711256   -0.711916 0.000989269
       1.125           5   -0.710028   -0.711538 0.000860467
       1.125           6    -0.71168   -0.711562  0.00071738
       1.125           7   -0.712316    -0.71167 0.000622931
       1.125           8   -0.712376   -0.711758 0.000551285
       1.125           9   -0.710964    -0.71167  0.00049704
       1.125          10   -0.710592   -0.711562 0.000458873
       1.125          11   -0.707784   -0.711219 0.000530337
       1.125          12   -0.712652   -0.711338 0.000499414
       1.125          13   -0.713492   -0.711504  0.00048771
       1.125          14    -0.70598   -0.711109 0.000591307
       1.125          15    -0.70784   -0.710891 0.000590687
       1.125          16     -0.7104   -0.710861 0.000554567
       1.125          17   -0.710024   -0.710811 0.000524124
       1.125          18   -0.712012   -0.710878 0.000499232
       1.125          19   -0.711724   -0.710923 0.000474939
       1.125          20   -0.711124   -0.710933 0.000451298
        1.15           1   -0.700908   -0.700908           0
        1.15           2   -0.698644   -0.699776 0.000800445
        1.15           3   -0.700612   -0.700055 0.000580113
        1.15           4   -0.703324   -0.700872 0.000830857
        1.15           5   -0.704528   -0.701603 0.000932486
        1.15           6    -0.69656   -0.700763  0.00109206
        1.15           7   -0.700056   -0.700662 0.000940703
        1.15           8   -0.699532   -0.700521 0.000833647
        1.15           9    -0.70044   -0.700512 0.000741067
        1.15          10    -0.70022   -0.700482 0.000667534
        1.15          11   -0.697936   -0.700251 0.000645742
        1.15          12   -0.700584   -0.700279 0.000592526
        1.15          13   -0.699988   -0.700256 0.000547369
        1.15          14    -0.70084   -0.700298 0.000509856
        1.15          15   -0.702276    -0.70043 0.000492624
        1.15          16   -0.701476   -0.700495 0.000466153
        1.15          17   -0.701556   -0.700558 0.000442889
        1.15          18   -0.704968   -0.700803 0.000481312
        1.15          19   -0.701144   -0.700821 0.000456315
        1.15          20     -0.7018    -0.70087 0.000436118
       1.175           1    -0.69278    -0.69278           0
       1.175           2   -0.690432   -0.691606 0.000830143
       1.175           3   -0.690676   -0.691296 0.000608564
       1.175           4   -0.694704   -0.692148 0.000867612
       1.175           5   -0.690868   -0.691892 0.000730882
       1.175           6   -0.689272   -0.691455 0.000727917
       1.175           7   -0.690672   -0.691343 0.000632472
       1.175           8    -0.69154   -0.691368  0.00055389
       1.175           9   -0.690224   -0.691241 0.000506722
       1.175          10   -0.692344   -0.691351 0.000467903
       1.175          11    -0.69434   -0.691623 0.000498047
       1.175          12     -0.6876   -0.691288  0.00055808
       1.175          13   -0.693364   -0.691447  0.00053752
       1.175          14   -0.690928    -0.69141 0.000500405
       1.175          15     -0.6926    -0.69149 0.000473288
       1.175          16   -0.692228   -0.691536 0.000445952
       1.175          17    -0.69316   -0.691631 0.000429833
       1.175          18   -0.689328   -0.691503 0.000424573
       1.175          19   -0.691472   -0.691502  0.00040223
