#      T        BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       1.025          20    0.108264    0.130023  0.00289959
        1.05           1     0.14967     0.14967           0
        1.05           2    0.112386    0.131028   0.0131819
        1.05           3    0.129396    0.130484  0.00879914
        1.05           4    0.123834    0.128821  0.00675459
        1.05           5    0.103644    0.123786  0.00703453
        1.05           6    0.134134    0.125511  0.00606985
        1.05           7    0.104626    0.122527  0.00589051
        1.05           8    0.129344    0.123379  0.00521547
        1.05           9    0.101174    0.120912  0.00518683
        1.05          10    0.130856    0.121906  0.00476251
        1.05          11     0.10538    0.120404  0.00456038
        1.05          12      0.1325    0.121412   0.0042903
        1.05          13    0.139728    0.122821  0.00418523
        1.05          14    0.139156    0.123988  0.00404566
        1.05          15    0.143942    0.125318  0.00398867
        1.05          16    0.131534    0.125706  0.00375825
        1.05          17    0.134622    0.126231  0.00357358
        1.05          18    0.128252    0.126343  0.00337681
        1.05          19    0.142946    0.127217  0.00331022
        1.05          20    0.133838    0.127548  0.00316122
       1.075           1     0.12288     0.12288           0
       1.075           2    0.132274    0.127577  0.00332128
       1.075           3     0.11247    0.122541  0.00466989
       1.075           4    0.116054     0.12092  0.00377355
       1.075           5    0.121024     0.12094   0.0030189
       1.075           6    0.094778     0.11658  0.00470885
       1.075           7    0.143858    0.120477  0.00541356
       1.075           8    0.136356    0.122462  0.00508776
       1.075           9     0.13139    0.123454  0.00461815
       1.075          10     0.12983    0.124091  0.00420012
       1.075          11    0.125882    0.124254  0.00382145
       1.075          12    0.120044    0.123903  0.00351906
       1.075          13    0.101728    0.122198  0.00363838
       1.075          14    0.126612    0.122513  0.00339213
       1.075          15    0.115068    0.122017  0.00320209
       1.075          16     0.11887     0.12182  0.00300799
       1.075          17    0.153322    0.123673  0.00335361
       1.075          18     0.14359    0.124779  0.00334487
       1.075          19    0.126886     0.12489  0.00317066
       1.075          20    0.148264    0.126059  0.00322031
         1.1           1    0.111308    0.111308           0
         1.1           2     0.12324    0.117274   0.0042186
         1.1           3     0.10899    0.114513  0.00360457
         1.1           4    0.107186    0.112681  0.00313445
         1.1           5    0.098754    0.109896  0.00353477
         1.1           6    0.099908    0.108231   0.0033145
         1.1           7    0.107008    0.108056   0.0028456
         1.1           8    0.117386    0.109222  0.00271839
         1.1           9    0.098034    0.107979  0.00268561
         1.1          10     0.13657    0.110838  0.00363303
         1.1          11      0.1305    0.112626  0.00371654
         1.1          12    0.116708    0.112966  0.00342236
         1.1          13    0.094962    0.111581  0.00342788
         1.1          14    0.103292    0.110989  0.00323376
         1.1          15    0.111116    0.110997  0.00301819
         1.1          16    0.115766    0.111295  0.00284423
         1.1          17    0.096884    0.110448  0.00280041
         1.1          18    0.125918    0.111307  0.00277358
         1.1          19    0.121674    0.111853  0.00268073
         1.1          20     0.09734    0.111127  0.00264309
       1.125           1    0.089956    0.089956           0
       1.125           2    0.105128    0.097542  0.00536411
       1.125           3    0.108288    0.101124  0.00461975
       1.125           4    0.114136    0.104377  0.00446559
       1.125           5    0.108642     0.10523  0.00365303
       1.125           6     0.10434    0.105082   0.0030472
       1.125           7    0.109516    0.105715  0.00267692
       1.125           8     0.10662    0.105828   0.0023447
       1.125           9     0.10433    0.105662  0.00209008
       1.125          10    0.108458    0.105941  0.00189968
       1.125          11    0.093536    0.104814  0.00203438
       1.125          12    0.093922    0.103906  0.00205738
       1.125          13    0.103906    0.103906  0.00189912
       1.125          14    0.112462    0.104517   0.0018592
       1.125          15    0.105084    0.104555  0.00173564
       1.125          16    0.085626    0.103372  0.00198993
       1.125          17    0.106972    0.103584  0.00188411
       1.125          18    0.106904    0.103768  0.00178844
       1.125          19    0.101658    0.103657  0.00169776
       1.125          20    0.092008    0.103075  0.00170986
        1.15           1    0.098822    0.098822           0
