#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
       1.175           9    0.362673    0.377899  0.00334425
       1.175          10     0.37446    0.377555  0.00302746
       1.175          11    0.377656    0.377565  0.00275225
       1.175          12    0.381472     0.37789  0.00254208
       1.175          13    0.385898    0.378506  0.00242002
       1.175          14    0.382299    0.378777  0.00226227
       1.175          15    0.384366     0.37915  0.00214192
       1.175          16     0.38154    0.379299  0.00201325
       1.175          17    0.374481    0.379016  0.00191467
       1.175          18    0.380472    0.379097     0.00181
       1.175          19    0.375855    0.378926  0.00172276
       1.175          20    0.376685    0.378814  0.00164026
         1.2           1    0.372362    0.372362           0
         1.2           2    0.358441    0.365402  0.00492149
         1.2           3    0.367038    0.365947  0.00331111
         1.2           4    0.367952    0.366448  0.00252098
         1.2           5    0.376896    0.368538  0.00274955
         1.2           6    0.371913      0.3691  0.00234813
         1.2           7    0.373818    0.369774  0.00210717
         1.2           8    0.374183    0.370325  0.00191448
         1.2           9    0.371465    0.370452  0.00170595
         1.2          10    0.371408    0.370548  0.00153803
         1.2          11    0.366934    0.370219  0.00143287
         1.2          12    0.368664     0.37009  0.00131931
         1.2          13     0.37593    0.370539  0.00129206
         1.2          14    0.378176    0.371084  0.00130987
         1.2          15    0.367389    0.370838  0.00124549
         1.2          16    0.372928    0.370969  0.00117448
         1.2          17    0.376935     0.37132  0.00115664
         1.2          18    0.370985    0.371301  0.00109254
         1.2          19    0.372028    0.371339   0.0010357
         1.2          20    0.369386    0.371242 0.000988511
       1.225           1    0.373786    0.373786           0
       1.225           2    0.366938    0.370362  0.00242126
       1.225           3    0.364033    0.368252  0.00236067
       1.225           4    0.359401     0.36604  0.00260903
       1.225           5    0.370693     0.36697  0.00224708
       1.225           6    0.357867    0.365453  0.00232914
       1.225           7    0.364257    0.365282  0.00200266
       1.225           8    0.367116    0.365511   0.0017654
       1.225           9    0.359234    0.364814  0.00170145
       1.225          10    0.362083    0.364541  0.00155307
       1.225          11    0.366727     0.36474  0.00142454
       1.225          12     0.36194    0.364506   0.0013248
       1.225          13    0.356971    0.363927  0.00134371
       1.225          14    0.358363    0.363529  0.00130517
       1.225          15    0.372207    0.364108  0.00134027
       1.225          16    0.363454    0.364067  0.00125712
       1.225          17    0.362588     0.36398  0.00118618
       1.225          18    0.361188    0.363825  0.00113038
       1.225          19    0.373288    0.364323  0.00117549
       1.225          20    0.366149    0.364414  0.00112026
        1.25           1    0.345099    0.345099           0
        1.25           2    0.353535    0.349317  0.00298269
        1.25           3    0.354414    0.351016   0.0024246
        1.25           4    0.357456    0.352626  0.00229145
        1.25           5    0.362639    0.354628  0.00256294
        1.25           6    0.363454    0.356099   0.0025228
        1.25           7    0.358165    0.356394  0.00217959
        1.25           8    0.360497    0.356907  0.00196656
